"Date","Price","Open","High","Low","Vol.","Change %"
"08/25/2021","75,484","75,096","76,645","74,942","1.36M","0.52%"
"08/26/2021","74,942","75,716","76,645","74,942","1.37M","-0.72%"
"08/27/2021","75,716","74,322","76,258","74,322","1.41M","1.03%"
"08/30/2021","76,877","76,180","76,955","75,716","1.56M","1.53%"
"08/31/2021","76,955","77,032","77,342","76,103","953.81K","0.10%"
"09/01/2021","76,955","76,955","77,342","74,322","1.16M","0.00%"
"09/06/2021","77,419","76,955","77,496","76,955","1.15M","0.60%"
"09/07/2021","77,419","77,342","78,038","77,264","1.33M","0.00%"
"09/08/2021","77,187","77,419","77,496","74,942","1.10M","-0.30%"
"09/09/2021","76,877","77,187","77,496","76,335","1.04M","-0.40%"
"09/10/2021","76,800","77,264","77,264","76,335","1.09M","-0.10%"
"09/13/2021","75,948","76,490","76,645","75,948","1.33M","-1.11%"
"09/14/2021","76,103","75,948","76,258","75,096","1.57M","0.20%"
"09/15/2021","75,174","76,103","76,103","75,174","1.02M","-1.22%"
"09/16/2021","75,948","76,567","76,567","75,484","727.83K","1.03%"
"09/17/2021","75,251","75,484","76,180","75,251","1.28M","-0.92%"
"09/20/2021","77,109","75,329","78,193","75,329","1.63M","2.47%"
"09/21/2021","75,871","77,032","77,264","75,871","1.10M","-1.61%"
"09/22/2021","77,032","76,180","77,032","75,871","462.93K","1.53%"
"09/23/2021","77,032","77,109","77,729","76,258","862.58K","0.00%"
"09/24/2021","77,032","77,032","77,264","76,877","580.20K","0.00%"
"09/27/2021","75,871","77,032","77,187","75,871","593.98K","-1.51%"
"09/28/2021","76,800","75,716","76,877","75,484","618.22K","1.22%"
"09/29/2021","76,258","77,032","77,032","75,484","720.94K","-0.71%"
"09/30/2021","75,251","76,258","76,335","75,174","1.53M","-1.32%"
"10/01/2021","74,245","75,329","76,025","74,167","2.06M","-1.34%"
"10/04/2021","73,238","74,322","74,709","73,084","1.17M","-1.36%"
"10/05/2021","74,013","73,626","74,400","73,626","1.24M","1.06%"
"10/06/2021","74,013","74,013","74,013","73,393","881.97K","0.00%"
"10/07/2021","74,942","74,013","74,942","73,548","1.02M","1.26%"
"10/08/2021","75,096","74,787","75,096","74,013","889.37K","0.21%"
"10/11/2021","75,484","75,096","76,180","74,942","1.40M","0.52%"
"10/12/2021","75,096","76,103","76,103","75,096","971.16K","-0.51%"
"10/13/2021","75,096","75,793","75,871","75,096","1.82M","0.00%"
"10/14/2021","74,864","75,096","75,251","74,245","2.28M","-0.31%"
"10/15/2021","74,709","74,942","75,329","74,709","933.39K","-0.21%"
"10/18/2021","74,322","74,555","75,096","73,548","1.59M","-0.52%"
"10/19/2021","74,632","74,400","74,709","73,703","1.07M","0.42%"
"10/20/2021","73,548","74,632","74,864","72,774","1.99M","-1.45%"
"10/21/2021","72,774","73,858","74,322","72,774","1.56M","-1.05%"
"10/22/2021","73,006","73,548","73,548","72,774","306.24K","0.32%"
"10/25/2021","72,851","74,245","74,245","72,851","1.02M","-0.21%"
"10/26/2021","72,774","72,851","73,238","72,464","806.43K","-0.11%"
"10/27/2021","74,400","73,238","74,709","73,006","1.82M","2.23%"
"10/28/2021","75,793","74,787","75,793","74,400","2.26M","1.87%"
"10/29/2021","75,871","75,329","76,180","75,019","1.61M","0.10%"
"11/01/2021","75,096","75,948","76,025","75,096","1.35M","-1.02%"
"11/02/2021","75,793","75,406","75,871","75,329","1.03M","0.93%"
"11/03/2021","76,413","75,638","76,490","75,329","2.34M","0.82%"
"11/04/2021","76,180","76,413","76,490","75,251","1.26M","-0.30%"
"11/05/2021","75,484","75,484","76,645","75,096","1.44M","-0.91%"
"11/08/2021","76,025","75,948","76,180","75,484","1.51M","0.72%"
"11/09/2021","75,174","75,871","76,335","75,096","1.76M","-1.12%"
"11/10/2021","75,561","75,174","76,025","74,942","1.09M","0.51%"
"11/11/2021","76,103","75,716","76,877","75,096","1.42M","0.72%"
"11/12/2021","76,025","76,103","76,103","75,484","784.49K","-0.10%"
"11/15/2021","75,638","76,103","76,645","75,251","978.31K","-0.51%"
"11/16/2021","75,251","75,638","76,258","75,096","901.24K","-0.51%"
"11/17/2021","75,871","75,251","75,948","75,251","1.01M","0.82%"
"11/18/2021","75,096","76,103","76,103","75,096","905.58K","-1.02%"
"11/19/2021","75,174","75,251","75,793","75,174","526.99K","0.10%"
"11/22/2021","76,490","75,329","76,567","75,174","1.30M","1.75%"
"11/23/2021","76,722","76,645","76,722","76,025","700.78K","0.30%"
"11/24/2021","81,135","76,800","81,755","76,800","2.40M","5.75%"
"11/25/2021","82,916","81,290","83,613","80,980","1.88M","2.20%"
"11/26/2021","81,290","82,606","83,767","80,516","1.12M","-1.96%"
"11/29/2021","78,271","79,974","81,213","78,193","1.09M","-3.71%"
"11/30/2021","76,567","80,516","80,516","76,567","1.71M","-2.18%"
"12/01/2021","76,645","76,955","78,580","76,103","703.71K","0.10%"
"12/02/2021","76,722","77,651","78,038","76,490","1.01M","0.10%"
"12/03/2021","75,871","76,800","78,038","75,484","1.02M","-1.11%"
"12/06/2021","73,858","75,871","77,419","73,858","1.29M","-2.65%"
"12/07/2021","76,025","74,400","76,955","74,400","1.05M","2.93%"
"12/08/2021","76,413","75,871","76,955","75,871","647.57K","0.51%"
"12/09/2021","76,800","75,406","76,955","75,329","1.03M","0.51%"
"12/10/2021","77,419","78,193","79,587","77,342","2.40M","0.81%"
"12/13/2021","77,109","78,967","78,967","76,800","1.32M","-0.40%"
"12/14/2021","76,877","77,109","77,806","76,722","1.10M","-0.30%"
"12/15/2021","77,342","77,032","77,961","76,645","934.42K","0.60%"
"12/16/2021","76,722","78,038","78,038","75,948","1.34M","-0.80%"
"12/17/2021","74,709","77,419","77,419","74,709","4.43M","-2.62%"
"12/20/2021","77,032","76,258","77,032","75,948","940.28K","3.11%"
"12/21/2021","76,567","76,645","77,264","76,258","987.75K","-0.60%"
"12/22/2021","76,900","77,000","77,800","76,600","1.92M","0.43%"
"12/23/2021","76,500","77,500","78,900","76,500","1.49M","-0.52%"
"12/24/2021","78,500","76,800","78,500","76,800","849.40K","2.61%"
"12/27/2021","79,800","78,900","80,300","77,900","934.10K","1.66%"
"12/28/2021","80,000","80,000","81,000","78,000","1.17M","0.25%"
"12/29/2021","79,500","79,500","79,800","79,100","440.00K","-0.63%"
"12/30/2021","78,400","79,800","79,900","77,700","920.30K","-1.38%"
"12/31/2021","78,800","79,000","79,200","78,400","422.00K","0.51%"
