"Date","Price","Open","High","Low","Vol.","Change %"
"10/08/2021","16,200.0","16,500.0","16,500.0","16,200.0","2.91M","-2.11%"
"10/11/2021","16,200.0","16,200.0","16,350.0","16,100.0","3.76M","0.00%"
"10/12/2021","16,250.0","16,100.0","16,300.0","16,050.0","5.74M","0.31%"
"10/13/2021","16,250.0","16,250.0","16,450.0","16,150.0","3.57M","0.00%"
"10/14/2021","16,550.0","16,300.0","16,800.0","16,250.0","10.53M","1.85%"
"10/15/2021","16,350.0","16,600.0","16,700.0","16,300.0","5.28M","-1.21%"
"10/18/2021","16,150.0","16,350.0","16,450.0","16,100.0","4.79M","-1.22%"
"10/19/2021","16,100.0","16,150.0","16,300.0","16,050.0","4.28M","-0.31%"
"10/20/2021","16,000.0","16,100.0","16,250.0","15,750.0","5.43M","-0.62%"
"10/21/2021","15,900.0","16,000.0","16,050.0","15,800.0","4.49M","-0.63%"
"10/22/2021","16,150.0","15,950.0","16,300.0","15,900.0","4.06M","1.57%"
"10/25/2021","16,150.0","16,200.0","16,450.0","16,100.0","5.51M","0.00%"
"10/26/2021","16,200.0","16,200.0","16,200.0","15,950.0","3.59M","0.31%"
"10/27/2021","17,100.0","16,450.0","17,200.0","16,250.0","18.81M","5.56%"
"10/28/2021","16,900.0","17,250.0","17,250.0","16,900.0","7.04M","-1.17%"
"10/29/2021","17,200.0","16,950.0","17,450.0","16,900.0","8.26M","1.78%"
"11/01/2021","17,550.0","17,200.0","17,850.0","16,950.0","13.66M","2.03%"
"11/02/2021","17,500.0","17,400.0","17,900.0","17,400.0","7.49M","-0.28%"
"11/03/2021","16,700.0","17,700.0","17,700.0","16,650.0","13.10M","-4.57%"
"11/04/2021","16,600.0","16,700.0","16,900.0","16,500.0","5.65M","-0.60%"
"11/05/2021","17,000.0","16,700.0","17,250.0","16,650.0","6.21M","2.41%"
"11/08/2021","17,250.0","17,300.0","17,500.0","17,000.0","6.97M","1.47%"
"11/09/2021","17,100.0","17,300.0","17,500.0","17,050.0","8.20M","-0.87%"
"11/10/2021","18,150.0","17,200.0","18,250.0","17,000.0","16.57M","6.14%"
"11/11/2021","18,000.0","18,200.0","18,350.0","17,700.0","9.82M","-0.83%"
"11/12/2021","18,300.0","18,000.0","18,700.0","17,900.0","8.41M","1.67%"
"11/15/2021","18,400.0","18,300.0","19,100.0","18,000.0","10.74M","0.55%"
"11/16/2021","17,800.0","18,200.0","18,450.0","17,700.0","9.59M","-3.26%"
"11/17/2021","17,900.0","17,850.0","18,200.0","17,750.0","6.02M","0.56%"
"11/18/2021","18,600.0","18,000.0","18,800.0","17,900.0","9.07M","3.91%"
"11/19/2021","17,500.0","18,550.0","18,900.0","17,300.0","12.34M","-5.91%"
"11/22/2021","16,600.0","17,550.0","17,750.0","16,600.0","8.56M","-5.14%"
"11/23/2021","17,100.0","16,600.0","17,200.0","16,500.0","4.22M","3.01%"
"11/24/2021","17,000.0","17,300.0","17,350.0","16,850.0","6.84M","-0.58%"
"11/25/2021","17,100.0","17,000.0","17,450.0","16,900.0","4.32M","0.59%"
"11/26/2021","16,900.0","17,200.0","17,250.0","16,800.0","5.05M","-1.17%"
"11/29/2021","16,800.0","16,400.0","16,950.0","16,400.0","5.16M","-0.59%"
"11/30/2021","16,850.0","17,100.0","17,450.0","16,750.0","6.03M","0.30%"
"12/01/2021","17,400.0","16,850.0","17,500.0","16,850.0","5.48M","3.26%"
"12/02/2021","17,550.0","17,400.0","17,950.0","17,400.0","6.39M","0.86%"
"12/03/2021","16,900.0","17,550.0","17,650.0","16,900.0","5.14M","-3.70%"
"12/06/2021","16,250.0","16,900.0","17,050.0","15,950.0","7.04M","-3.85%"
"12/07/2021","16,550.0","16,400.0","16,700.0","16,300.0","3.53M","1.85%"
"12/08/2021","16,600.0","16,750.0","17,000.0","16,550.0","3.45M","0.30%"
"12/09/2021","16,800.0","16,550.0","17,000.0","16,550.0","2.24M","1.20%"
"12/10/2021","17,000.0","16,800.0","17,150.0","16,750.0","3.54M","1.19%"
"12/13/2021","17,650.0","17,300.0","17,800.0","17,100.0","8.39M","3.82%"
"12/14/2021","18,350.0","17,750.0","18,500.0","17,400.0","10.85M","3.97%"
"12/15/2021","18,500.0","18,400.0","19,300.0","18,400.0","12.04M","0.82%"
"12/16/2021","18,700.0","18,400.0","19,200.0","18,100.0","9.37M","1.08%"
"12/17/2021","18,600.0","18,750.0","19,200.0","18,500.0","6.94M","-0.53%"
"12/20/2021","18,100.0","18,500.0","18,700.0","17,900.0","7.09M","-2.69%"
"12/21/2021","19,350.0","18,000.0","19,350.0","17,600.0","15.44M","6.91%"
"12/22/2021","20,000.0","20,000.0","20,600.0","19,700.0","11.39M","3.36%"
"12/23/2021","21,400.0","20,000.0","21,400.0","19,500.0","18.31M","7.00%"
"12/24/2021","21,350.0","21,500.0","22,200.0","20,950.0","10.54M","-0.23%"
"12/27/2021","21,900.0","21,350.0","22,250.0","21,050.0","8.67M","2.58%"
"12/28/2021","21,300.0","22,000.0","22,250.0","21,100.0","10.86M","-2.74%"
"12/29/2021","21,550.0","21,300.0","21,800.0","21,050.0","7.50M","1.17%"
"12/30/2021","21,000.0","21,700.0","21,850.0","21,000.0","5.19M","-2.55%"
"12/31/2021","20,200.0","21,000.0","21,250.0","20,000.0","10.38M","-3.81%"
